code,name,market,industry,close_price,change_rate,market_cap
051490,나라엠앤디,KOSDAQ,특수 목적용 기계 제조업,2760,0.0,39192000000
019770,서연탑메탈,KOSDAQ,특수 목적용 기계 제조업,3355,1.67,39085750000
000890,보해양조,KOSPI,알코올음료 제조업,1409,-5.05,38922251225
452200,민테크,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1599,0.0,38908147200
177900,쓰리에이로직스,KOSDAQ,반도체 제조업,4040,-2.3,38895504000
044960,이글벳,KOSDAQ,기타 전문 도매업,3075,-2.69,38873790225
200580,메디쎄이,KONEX,의료용 기기 제조업,10430,-0.1,38863003970
393210,토마토시스템,KOSDAQ,소프트웨어 개발 및 공급업,2485,-0.6,38802141840
446070,유니드비티플러스,KOSPI,제재 및 목재 가공업,3655,0.97,38783990825
221840,하이즈항공,KOSDAQ,"항공기,우주선 및 부품 제조업",2060,1.98,38523155660
145270,케이탑리츠,KOSPI,부동산 임대 및 공급업,800,-0.12,38448619200
049470,비트플래닛,KOSDAQ,소프트웨어 개발 및 공급업,1628,-5.79,38331095572
290120,DH오토리드,KOSDAQ,자동차 신품 부품 제조업,2415,-1.43,38217802455
221980,케이디켐,KOSDAQ,기타 화학제품 제조업,9460,-0.11,38169208000
047400,유니온머티리얼,KOSPI,"내화, 비내화 요업제품 제조업",906,-1.2,38052000000
260660,알리코제약,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,2480,-2.55,38011012080
046310,백금T&A,KOSDAQ,통신 및 방송 장비 제조업,2315,0.65,38009153915
023960,에쓰씨엔지니어링,KOSPI,토목 건설업,999,1.22,37997939025
089140,넥스턴앤롤코리아,KOSDAQ,특수 목적용 기계 제조업,2480,2.69,37984260320
105550,엣지파운드리,KOSDAQ,전자부품 제조업,2425,-11.33,37978919250
060850,영림원소프트랩,KOSDAQ,소프트웨어 개발 및 공급업,4670,-6.97,37971770000
208710,포톤,KOSDAQ,전자부품 제조업,2875,3.98,37892879500
027740,마니커,KOSPI,"도축, 육류 가공 및 저장 처리업",1189,0.0,37757425046
090410,덕신이피씨,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업",819,0.0,37742873805
215380,콜마바이오텍,KOSDAQ,자연과학 및 공학 연구개발업,2240,-4.48,37698250240
045060,오공,KOSDAQ,기타 화학제품 제조업,2225,5.45,37695892150
100660,서암기계공업,KOSDAQ,일반 목적용 기계 제조업,2990,-2.92,37674000000
321820,아티스트컴퍼니,KOSDAQ,창작 및 예술관련 서비스업,2415,-2.82,37653173040
186230,그린플러스,KOSDAQ,1차 비철금속 제조업,3425,0.74,37401643900
